p_name,p_price,p_score,p_region,p_year
Riesling Kabinett Halbtrocken Mosel-Saar-Ruwer Eitelsbacher Karthäuserhofberg,20,87,Germany,1998
Zinfandel Alexander Valley Old & Mature Vines,25,87,Sonoma,1997
Merlot Santa Ynez Valley,23,86,South Coast,1997
Brunello di Montalcino,40,86,Tuscany,1994
Cabernet Franc Pennsylvania,,78,Pennsylvania,1996
Semillon Columbia Valley Late Harvest Reserve,23,90,Washington,1997
Margaux,,,Bordeaux,1998
Riesling Spätlese Pfalz Kallstadter Saumagen,33,89,Germany,1997
Zweigelt Qualitätswein Trocken Neusiedlersee,11,83,Burgenland,1997
Merlot Clear Lake,22,89,Mendocino Lake,1997
Chassagne-Montrachet Red Morgeot,30,85,Burgundy,1994
Cabernet Sauvignon Maipo Valley Private Reserve,8,88,Chile,1992
Merlot Sonoma Valley Nunns Canyon Vineyard Reserve,45,90,Sonoma,1997
Salento Lume di Candela,11,83,Other Italy,1997
Riesling Auslese Rheingau Hallgartener Jungfer (AP 10),,92,Germany,1997
Vernaccia di San Gimignano Riserva,14,78,Tuscany,1995
Brunello di Montalcino Riserva,55,90,Tuscany,1993
Syrah Santa Barbara County,21,87,South Coast,1997
Chiroubles Chateau de Javernand,10,85,Beaujolais,1994
Barbera d'Alba,18,73,Piedmont,1996
Cabernet Sauvignon Vin de Pays du Val de Montferrand,12,81,Languedoc-Roussillon,1998
Pinot Noir Russian River Valley,25,86,Sonoma,1998
Furmint Tokay,9,82,Hungary,1997
Plavac Mali Dingac,23,83,Croatia,1997
Chianti Classico Monte Firidolfi,20,81,Tuscany,1995
Merlot Mudgee,19,88,Australia,1998
Prosecco di Valdobbiadene,16,81,Veneto,
Chardonnay Santa Barbara County Cuvee Lestat,35,90,South Coast,1996
Cabernet Sauvignon Napa Valley State Lane Vineyard,85,94,Napa,1995
Chardonnay Valle Central,8,79,Chile,1996
Syrah Dry Creek Valley,20,87,Sonoma,1994
Barsac,,,Sauternes,1998
Chardonnay South Eastern Australia,8,82,Australia,1998
Pinot Gris Willamette Valley,13,85,Oregon,1994
Pinot Noir Sonoma County,16,85,Sonoma,1998
Amigne Valais Les Cepages,19,85,Valais,1995
Brut Champagne La Grande Dame,150,84,Champagne,1993
Chablis Fourchaume,26,90,Burgundy,1996
Zinfandel Napa Valley,23,83,Napa,1998
Rose d'Anjou,8,77,Loire,1992
Blauer Zweigelt Qualitätswein Trocken Neusiedlersee,16,84,Burgenland,1994
Gevrey-Chambertin En Motrot,60,94,Burgundy,1998
Pinot Grigio Monticello,13,75,Virginia,1997
Barbera d'Alba Superiore,16,83,Piedmont,1998
Cotes du Rhone White Belleruche,10,78,Rhone,1993
Chardonnay Finger Lakes Reserve,12,84,Finger Lakes,1997
Pinot Grigio Alto Adige Anime,10,83,Northeast,1997
Barbaresco Coparossa,60,87,Piedmont,1996
Barbera Tulum Valley Seleccion Especial,8,86,Argentina,1998
Bordeaux White,9,78,Bordeaux,1994
Chablis Les Preuses,45,86,Burgundy,1995
Minervois Chateau La Plaine St.-Pierre,10,85,Languedoc-Roussillon,1997
Cabernet Sauvignon Northern Sonoma Reserve,30,87,Sonoma,1993
Pinot Noir Willamette Valley Vintage Select,16,86,Oregon,1993
Cantinino Vigneto di Fezzana,,75,Tuscany,1993
Merlot Vin de Pays d'Oc Flower Label,7,79,Other France,1996
Tokay Clare Valley Liqueur,31,92,Australia,
Riesling Eiswein Rheinhessen Nierstein Oelberg,63,95,Germany,1998
Chardonnay Dry Creek Valley Flintwood Vineyard,17,89,Sonoma,1994
Barolo Bussia,66,94,Piedmont,1996
Merlot California,18,79,Other California,1995
Pauillac,39,81,Bordeaux,1997
Port Australia Tall Ships Tawny Port,10,86,Australia,
Toscana Percarlo,30,90,Tuscany,1997
Zinfandel Sonoma County,20,86,Sonoma,1997
Shiraz South Eastern Australia Classic Reserve,10,84,Australia,1997
Riesling Spätlese Mosel-Saar-Ruwer Kanzemer Altenberg,19,89,Germany,1996
Riesling Kabinett Rheingau Eltviller Sonnenberg,15,82,Germany,1995
Negrette Cienega Valley,16,85,Bay Area - Central Coast,1992
Pinot Noir Alsace Cote de Rouffach,13,84,Alsace,1997
Margaux,50,90,Bordeaux,1994
Cabernet Sauvignon Columbia Valley Cold Creek Vineyard,26,92,Washington,1992
Chardonnay Napa Valley,11,84,Napa,1993
Pinot Noir Santa Lucia Highlands Pisoni Vineyard,42,84,Bay Area - Central Coast,1998
Gruner Veltliner Qualitätswein Trocken Kremstal Undhof Wieden Reserve,23,90,Niederosterreich,1998
Syrah Santa Maria Valley Bien Nacido Hillside Estate,35,93,South Coast,1997
Muller Thurgau Willamette Valley Dry,8,83,Oregon,1995
Cabernet Sauvignon Alexander Valley Barrelli Creek Vineyard,26,88,Sonoma,1996
Chassagne-Montrachet Les Encegnieres,40,84,Burgundy,1998
Chardonnay Columbia Valley Cold Creek Vineyard,25,90,Washington,1994
Zinfandel San Francisco Bay Continente Vineyard,16,85,Bay Area - Central Coast,1998
Rubicon Stellenbosch,30,85,South Africa,1994
Zinfandel Sonoma County Limited Reserve,13,85,Sonoma,1993
Pinot Noir Mendocino County,13,73,Mendocino Lake,1992
Graves White Cuvee Caroline,20,88,Bordeaux,1992
Chardonnay Western Australia Aquercus Unwooded,13,87,Australia,1997
Norton Orange County,11,73,Virginia,1996
Pinot Noir Oregon,14,87,Oregon,1994
Mercurey White,15,84,Burgundy,1992
Riesling Spätlese Rheingau Kiedricher Sandgrub,20,87,Germany,1997
St.-Emilion,,,Bordeaux,1998
White Zinfandel Russian River Valley,8,74,Sonoma,1994
Chardonnay Finger Lakes,12,83,Finger Lakes,1995
Chardonnay Santa Cruz Mountains Estate Reserve,19,90,Bay Area - Central Coast,1992
Pinot Noir Carneros,10,77,Carneros,1992
Meursault Les Charmes-Dessus,55,88,Burgundy,1998
Zinfandel Contra Costa County Planchon Vineyard,19,81,Bay Area - Central Coast,1998
Gewurztraminer Alsace Grand Cru Wintzenheim Hengst,32,89,Alsace,1992
Chambolle-Musigny,42,76,Burgundy,1996
Pinot Grigio Collio,,78,Northeast,1993
Chardonnay Santa Maria Valley,20,89,South Coast,1997
Pinot Bianco Alto Adige,8,78,Northeast,1993
Chardonnay Monterey Riverstone,14,90,Bay Area - Central Coast,1995
Sancerre Vignoble de la Reine Blanche,15,89,Loire,1995
Pouilly-Fuisse Les Combettes,37,88,Burgundy,1996
Cabernet Sauvignon Sonoma County,,,Sonoma,1999
Merlot Napa Valley,22,84,Napa,1995
Riesling QbA Rheingau Rudeshiem Berg Schlossberg,15,87,Germany,1998
Pinot Noir California Grand Reserve,30,86,Other California,1996
Cote-Rotie Coteau de Bassenon,35,90,Rhone,1996
Meritage El Dorado,15,81,Sierra Foothills,1995
Brut Anderson Valley L'Ermitage,38,93,Mendocino Lake,1993
Cabernet Sauvignon Malibu-Newton Canyon,25,90,South Coast,1994
Grenache Clarendon Blewitt Springs Vineyard,28,92,Australia,1995
Pomerol,,90,Bordeaux,1995
Chianti Classico,14,87,Tuscany,1996
Chardonnay Chile Seleccion de las Lomas,16,84,Chile,1996
Pinot Noir Willamette Valley Shea Vineyard,48,90,Oregon,1998
Maya Napa Valley,100,98,Napa,1996
Sauvignon Blanc California Coastal,11,79,Other California,1997
Chardonnay Santa Ynez Valley Limited Selection,25,88,South Coast,1994
Vinho Verde,5,78,Portugal,
Chardonnay Napa Valley Beckstoffer Ranch,28,92,Napa,1995
Riesling Eiswein Gold Cap Mosel-Saar-Ruwer,164,91,Germany,1998
Vosne-Romanee Maizieres,,83,Burgundy,1994
Brut Blanc de Blancs Champagne,55,87,Champagne,1994
Fume Blanc Redwood Valley Cox Vineyards,16,86,Mendocino Lake,1998
Santenay Les Potets,22,85,Burgundy,1996
Chardonnay Willamette Valley Erath Vineyards,10,85,Oregon,1994
Haut-Medoc,,,Bordeaux,1999
Sauvignon Blanc Napa Valley,10,85,Napa,1997
Shiraz McLaren Vale Foundation,40,87,Australia,1996
Zinfandel Napa Valley,18,88,Napa,1993
Sauvignon Blanc Mendocino County Quillen Vineyard,9,89,Mendocino Lake,1992
Chardonnay Maule Valley,5,74,Chile,1999
Lirac,11,75,Rhone,1997
Pinot Noir Santa Barbara County,14,83,South Coast,1992
Pinot Noir Umpqua Valley Barrel Select,18,88,Oregon,1992
Vino de Mesa Tio Vito,4,79,Spain,
Riesling Federspiel Wachau Vom Stein,25,87,Niederosterreich,1995
Zinfandel Paso Robles,13,80,South Coast,1995
Muscadet de Sevre et Maine Sur Lie Chateau du Coing de St.-Fiacre Comte de St.-Hubert,17,86,Loire,1995
Navarra La Cruceta Crianza,7,81,Spain,1994
Riesling Auslese Nahe Schlossbockelheimer Felsenberg,,87,Germany,1994
Zinfandel Dry Creek Valley,16,83,Sonoma,1994
Barbera d'Asti Gradale,,88,Piedmont,1997
Viognier Barossa Reserve,13,87,Australia,1995
Pinot Noir Marlborough,16,85,New Zealand,1999
Brut Blanc de Blancs Champagne,40,88,Champagne,1995
Gewurztraminer Alsace Wintzenheim,22,87,Alsace,1994
Sauvignon Blanc Rapel Valley,10,80,Chile,1996
Chassagne-Montrachet Les Chenevottes,42,89,Burgundy,1995
Clos de Vougeot,205,88,Burgundy,1994
Sauvignon Blanc Maule Valley Las Mercedes,8,79,Chile,1997
Macon-Villages Domaine Les Chenevieres,9,81,Burgundy,1994
Sauvignon Blanc Livermore Valley James Concannon Vineyard,8,78,Bay Area - Central Coast,1993
Viognier California,19,82,Other California,1995
Zinfandel Sonoma Valley Nuns Canyon,20,88,Sonoma,1996
Chardonnay Dunnigan Hills Barrel Cuvee,8,86,,1997
Meursault Clos du Cromin,38,84,Burgundy,1997
Chardonnay Napa Valley,30,88,Napa,1993
Moulis,26,90,Bordeaux,1995
Riesling Eiswein Mosel-Saar-Ruwer Bernkasteler Badstube,125,93,Germany,1998
Vintage Port,35,90,Portugal,1992
Palazzo Altesi,18,87,Tuscany,1993
Chardonnay Robertson Bon Vallon,10,83,South Africa,1997
Chassagne-Montrachet Clos St.-Jean,48,91,Burgundy,1998
Riesling Spätlese Saar-Ruwer Eitelsbacher Karthäuserhofberg,19,80,Germany,1992
Gevrey-Chambertin Premier Cru,35,72,Burgundy,1995
Chardonnay North Fork of Long Island Sandy Hill,22,80,Long Island,1996
Toscana Obsession,65,88,Tuscany,1997
Barbera d'Alba Vigna Majano,20,82,Piedmont,1997
Pouilly-Fume La Loge aux Moines,19,90,Loire,1995
St.-Julien,16,85,Bordeaux,1993
Gevrey-Chambertin Vieilles Vignes,45,87,Burgundy,1996
Chardonnay Mendoza Fazio & Joyaux,12,77,Argentina,1994
Vin Santo del Chianti Rufina Riserva,26,90,Tuscany,1994
St.-Estephe,15,84,Bordeaux,1995
Cabernet Sauvignon Lake County,15,85,Mendocino Lake,1992
Sauvignon Blanc Vin de Pays des Coteaux du Libron,8,85,Other France,1992
Gevrey-Chambertin Les Champeaux,46,88,Burgundy,1994
Cabernet Sauvignon Alexander Valley Wetzel Family Estate,20,86,Sonoma,1998
Riesling Kabinett Halbtrocken Rheingau Hattenheimer Wisselbrunnen,24,84,Germany,1998
Cotes du Rhone Eleve en Futs de Chene,7,80,Rhone,1998
Chardonnay Columbia Valley,23,90,Washington,1993
Santenay White En Boichot,20,82,Burgundy,1996
Syrah Cotes du Rhone,,88,Rhone,1996
Merlot Vin de Pays d'Oc Reserve,7,79,Other France,1995
Meursault Charmes-Dessus,53,88,Burgundy,1998
Weissburgunder Spätlese Trocken Neusiedlersee Pannonischer Reigen,,85,Burgenland,1999
Pommard,32,82,Burgundy,1995
Barolo Mariondino,49,90,Piedmont,1996
Cabernet Sauvignon Alexander Valley,,,Sonoma,1997
Cabernet Sauvignon McLaren Vale,21,90,Australia,1996
Nuits-St.-Georges Les Lavieres,32,91,Burgundy,1996
Savigny-les-Beaune,23,73,Burgundy,1995
Riesling Spätlese Rheingau Hallgartener Jungfer (AP 4),,87,Germany,1997
Chapelle-Chambertin,45,84,Burgundy,1992
Cabernet Sauvignon Sonoma Valley Artist Series,50,91,Sonoma,1992
Chianti Classico,13,77,Tuscany,1995
Cabernet Sauvignon Monterey,18,83,Bay Area - Central Coast,1994
Pommard Les Vignots,31,86,Burgundy,1995
Merlot Columbia Valley,22,88,Washington,1995
Corton Le Rognet,125,88,Burgundy,1997
Chardonnay Sonoma County,13,90,Sonoma,1996
Chardonnay Monterey Diamond T Estate,34,90,Bay Area - Central Coast,1993
Chardonnay Western Australia,17,88,Australia,1999
Syrah Santa Barbara County American Tradition Reserve,30,87,South Coast,1995
Pomerol,,,Bordeaux,1999
Zinfandel Dry Creek Valley,12,87,Sonoma,1996
St.-Julien,,,Bordeaux,1999
Volnay Fremiets Clos de la Rougeotte,38,82,Burgundy,1992
Gemelli Paso Robles,25,86,South Coast,
Chardonnay Carneros,15,91,Carneros,1993
Chardonnay Russian River Valley Maison Grand Cru,25,86,Sonoma,1996
Malbec Maipu-Mendoza,13,76,Argentina,1994
Puligny-Montrachet Clos de la Pucelle,60,83,Burgundy,1996
Fiano Central Coast Mistral Vineyard,12,77,Other California,1996
Valpolicella Classico Superiore Palazzo della Torre,16,90,Veneto,1996
Sauvignon Blanc Vin de Pays d'Oc,5,80,Other France,1993
Petite Sirah Napa Valley,20,91,Napa,1996
Gigondas,,88,Rhone,1995
Merlot Alto Adige,14,83,Northeast,1997
Cabernet Sauvignon North Yuba,18,76,Sierra Foothills,1996
Chardonnay Sierra Foothills,10,82,Sierra Foothills,1995
Clos Vougeot,88,96,Burgundy,1996
Pinot Blanc North Fork of Long Island Lieb Vineyards,13,86,Long Island,1994
Cabernet Sauvignon Galil,20,88,Israel,1993
Cabernet Sauvignon Somontano,8,87,Spain,1994
Meursault Clos du Cromin,32,89,Burgundy,1995
Chardonnay Napa Valley The Sculptor,20,81,Napa,1992
Toscana N'Antia,,75,Tuscany,1996
Viognier South Australia Yalumba Limited Release,10,88,Australia,1998
Cabernet Sauvignon Columbia Valley,30,85,Washington,1996
Cotes du Rhone White,9,86,Rhone,1997
Cabernet Sauvignon Margaret River,29,83,Australia,1994
Johannisberg Riesling Finger Lakes,9,72,Finger Lakes,1995
Coteaux du Languedoc,12,82,Languedoc-Roussillon,1997
St.-Amour Domaine des Sablons,14,85,Beaujolais,1999
Coteaux Varois Luc Sorin,15,87,Provence,1994
Merlot Maipo Valley,7,81,Chile,1995
Chardonnay Marlborough,21,81,New Zealand,1998
Fleurie,12,87,Beaujolais,1994
Macon-Villages Domaine de la Denante,,85,Burgundy,1995
Merlot Sonoma County,25,86,Sonoma,1996
Auxey-Duresses,17,84,Burgundy,1995
Cabernet Sauvignon Valle del Cachapoal Reserva,11,88,Chile,1992
Rioja Crianza,11,84,Spain,1996
Cabernet Sauvignon Napa Valley,7,77,Napa,1992
Pinot Noir Sonoma Mountain Van der Kamp Vineyard,40,86,Sonoma,1996
Cabernet Sauvignon Valle Central Reserva,7,82,Chile,1995
Brut Champagne Carte Blanche,32,89,Champagne,
Chassagne-Montrachet Clos de la Maltroie,,87,Burgundy,1992
Verdelho Margaret River,14,86,Australia,1998
Pommard Les Vignots,26,78,Burgundy,1992
Viognier Vin de Pays d'Oc Reserve St.-Martin,10,79,Other France,1997
Braida Nuova,40,89,Northeast,1994
Muller-Thurgau QbA Franken,11,78,Germany,1993
Cabernet Sauvignon Napa Valley Carneros,20,88,Carneros,1992
Charbono Mendocino Old Vines,10,83,Mendocino Lake,1995
Clos St.-Denis,99,88,Burgundy,1997
Cabernet Sauvignon Napa Valley Founder's Reserve,55,90,Napa,1994
Riesling Oregon Reserve,8,82,Oregon,1996
Beaune White Clos des Monsnieres,33,90,Burgundy,1996
Recioto di Soave Arzìmo,25,84,Veneto,1996
Paestum Naima,27,91,Other Italy,1997
Meursault,30,89,Burgundy,1995
Ribera del Duero,11,77,Spain,1996
Chardonnay Sonoma County,15,87,Sonoma,1996
Volnay Carelle Sous La Chapelle,47,59,Burgundy,1995
Pinot Noir Mornington Peninsula,20,82,Australia,1995
Rully Les Fromanges Domaine des Fromanges,13,85,Burgundy,1993
Sauvignon Blanc Waipara Mt Cass Road,19,91,New Zealand,1998
Merlot Hunter Valley,15,77,Australia,1995
Gruner Veltliner Qualitätswein Trocken Kamptal,7,70,Niederosterreich,1994
Riesling QbA Mosel-Saar-Ruwer Scharzhofberger,14,86,Germany,1995
Chianti Moro,,85,Tuscany,1995
Brunello di Montalcino Riserva,54,90,Tuscany,1993
Pinot Noir Willamette Valley,10,82,Oregon,1993
Minervois,16,88,Languedoc-Roussillon,1994
Pessac-Leognan,,,Bordeaux,1999
Haut-Medoc,18,84,Bordeaux,1995
Chinon,12,84,Loire,1992
Blanc de Blancs Napa Valley,28,88,Napa,1996
Beaune Les Chouacheux,36,74,Burgundy,1995
Zinfandel Amador County Pokerville,8,82,Sierra Foothills,1995
Riesling Smaragd Trocken Wachau Weissenkirchner Klaus,35,89,Niederosterreich,1996
Riesling Kabinett Rheinhessen Jean-Baptiste,15,88,Germany,1998
Penedes Blanc Seleccio,9,83,Spain,1999
Gevrey-Chambertin Lavaux St.-Jacques,46,84,Burgundy,1994
Pinot Grigio Trentino i Mesi,10,79,Northeast,1996
Merlot Vin de Pays d'Oc,10,83,Other France,1995
Chardonnay South Eastern Australia,10,83,Australia,1996
Chardonnay Monterey County Reserve,15,86,Bay Area - Central Coast,1994
Syrah Santa Barbara County,20,82,South Coast,1997
Merlot Napa Valley,20,92,Napa,1995
St.-Emilion,90,88,Bordeaux,1993
Pouilly-Fuisse Les Carrons,34,80,Burgundy,1994
Merlot Sonoma County,13,84,Sonoma,1996
Zinfandel Paso Robles Benito Dusi Vineyard,14,88,South Coast,1993
Chardonnay Sonoma County Private Reserve,26,89,Sonoma,1993
Pinot Gris Alsace Turckheim Clos Jebsal Vendange Tardive,79,91,Alsace,1998
Bairrada Teodosio,7,71,Portugal,1994
Chardonnay Sonoma Valley Wildwood Vineyard,20,87,Sonoma,1998
Blanc de Noirs California,14,80,Other California,
Sauternes,24,86,Sauternes,1995
Barolo La Volta Riserva,,90,Piedmont,1993
Pinot Gris Alsace Turckheim Clos Jebsal Selection des Grains Nobles,185,90,Alsace,1994
Dolcetto d'Alba Coste & Fossati,17,90,Piedmont,1999
Merlot-Cabernet Sauvignon Stellenbosch,17,83,South Africa,1999
Chateauneuf-du-Pape Tradition,25,79,Rhone,1997
Merlot Maipo Valley Curioso,9,71,Chile,1997
Muskateller Trockenbeerenauslese Pfalz Wachenheimer Luginsland,89,78,Germany,1995
Sauvignon Blanc North Coast,12,87,Other California,1999
Pinot Noir Willamette Valley,8,73,Oregon,1996
Riesling Beerenauslese Gold Cap Nahe,,87,Germany,1994
Chenin Blanc Columbia Valley,6,84,Washington,1993
Chardonnay Santa Cruz Mountains Bald Mountain Vineyard,29,93,Bay Area - Central Coast,1997
Brut Cava Cordon Negro,10,84,Spain,
Savigny-les-Beaune White Les Goudelettes,,86,Burgundy,1995
Merlot Vin de Pays d'Oc Selection,7,73,Other France,1997
Cabernet Sauvignon Napa Valley Oakville Estate,36,90,Napa,1994
Riesling Spätlese Mosel-Saar-Ruwer Graacher Domprobst (AP 12),25,90,Germany,1998
Brunello di Montalcino Castelgiocondo,40,80,Tuscany,1992
Petit Chablis Domaine Ste.-Claire,17,84,Burgundy,1997
Ribera del Duero,,82,Spain,1998
Chardonnay Sonoma Valley Wildwood Vineyard,17,82,Sonoma,1992
Chardonnay Sonoma County,22,89,Sonoma,1997
Dolcetto d'Alba,13,85,Piedmont,1995
Blanc de Blancs Cremant de Bourgogne,12,84,Burgundy,
Chardonnay Sonoma Valley Wildwood,20,89,Sonoma,1994
Toscana Il Pareto,40,88,Tuscany,1995
Bourgogne,9,74,Burgundy,1995
Pessac-Leognan,,,Bordeaux,1998
St.-Aubin En Remilly,22,87,Burgundy,1994
Chablis Les Clos,58,88,Burgundy,1996
Merlot Vin de Pays d'Oc Galet Vineyards,9,78,Other France,1996
Riesling Beerenauslese Rheinhessen Nackenheim Rothenberg,90,90,Germany,1993
Mazis-Chambertin,117,98,Burgundy,1993
Shiraz South Eastern Australia,12,91,Australia,1996
Pouilly-Fuisse Le Clos,37,90,Burgundy,1997
Riesling Spätlese Mosel-Saar-Ruwer Piesporter Domherr,22,86,Germany,1993
Chardonnay Napa Valley Carneros,16,91,Carneros,1992
Vin de Pays de l'Herault Cuvee T.S.,12,82,Languedoc-Roussillon,1998
Cabernet Sauvignon Napa Valley,60,93,Napa,1996
Chateauneuf-du-Pape White,23,81,Rhone,1996
Douro Foral Grande Escolha,15,85,Portugal,1997
Cabernet Franc Santa Barbara County,20,80,South Coast,1997
Cabernet Sauvignon Napa Valley,22,90,Napa,1992
Cabernet Sauvignon Maipo Valley,9,82,Chile,1998
Cabernet Sauvignon Mendocino Ridge,24,89,Mendocino Lake,1997
Cabernet Sauvignon Colchagua,10,82,Chile,1998
Jurancon Sec,10,77,Other France,1995
Chardonnay Sonoma County,20,82,Sonoma,1998
Corton-Charlemagne,95,94,Burgundy,1996
Petite Sirah Monterey County Fifth Generation Family Selection,11,86,Bay Area - Central Coast,1993
Nuits-St.-Georges Domaine du Clos St.-Marc,55,86,Burgundy,1996
Chardonnay Hunter Valley Shee-Oak,20,90,Australia,1996
St.-Emilion,,,Bordeaux,1998
Dry Creek Cuvee Dry Creek Valley,15,87,Sonoma,1998
Riesling Kabinett Halbtrocken Mosel-Saar-Ruwer Mulheimer Sonnenlay,15,85,Germany,1997
Chardonnay South Eastern Australia Bin 65,8,85,Australia,1997
Cabernet Sauvignon Napa Valley,,,Napa,1999
St.-Aubin Les Combes,33,92,Burgundy,1998
Bonnes Mares,90,96,Burgundy,1995
Chardonnay Arroyo Seco Paradise Vineyard,17,77,Bay Area - Central Coast,1998
Chardonnay Stellenbosch,24,84,South Africa,1996
Chardonnay Sonoma Valley C.S. Ridge Vineyard,20,85,Sonoma,1998
Sicilia Passomaggio,13,81,Other Italy,1996
St.-Julien,,,Bordeaux,1999
Cabernet Sauvignon Molina Reserva,12,85,Chile,1998
Riesling Auslese Pfalz Wachenheimer Goldbächel,47,89,Germany,1998
Zinfandel Dry Creek Valley Grist Ranch,20,88,Sonoma,1995
Vosne-Romanee,32,91,Burgundy,1996
St.-Emilion,35,88,Bordeaux,1993
Sangiovese Mendocino,16,84,Mendocino Lake,1994
Chardonnay Hunter Valley Moon Mountain,20,88,Australia,1995
Chablis Vaudesir,44,93,Burgundy,1996
Langhe Bricco Rovella,32,86,Piedmont,1998
Meritage Dry Creek Valley,25,89,Sonoma,1995
Barbaresco Vanotu,42,86,Piedmont,1994
Shiraz South Eastern Australia Classic Reserve,10,85,Australia,1996
Cabernet Sauvignon Colchagua Valley Reserve,12,81,Chile,1995
Cabernet Sauvignon Vin de Pays d'Oc Unfiltered,8,82,Other France,1995
Chardonnay Maipo Valley Reserva de Familia,15,81,Chile,1998
Morey-St.-Denis Premier cru,,84,Burgundy,1994
Chardonnay Monterey,12,87,Bay Area - Central Coast,1994
Grands Echezeaux,135,84,Burgundy,1997
Pinot Gris Willamette Valley,12,70,Oregon,1995
Riesling Eiswein Gold Cap Mosel-Saar-Ruwer Trittenheimer Felsenkopf,69,90,Germany,1998
Dolcetto di Dogliani Vigneto Maestra,25,75,Piedmont,1996
Merlot North Coast,18,84,Other California,1997
Merlot Columbia Valley,17,87,Washington,1994
Merlot Sonoma County,21,86,Sonoma,1995
Monbazillac Grande Maison Cuvee Monsieur,29,87,Other France,1996
Pommard Domaine su Pavillon,26,83,Burgundy,1997
Zinfandel North Coast,12,87,Other California,1994
Pommard Epenots,45,79,Burgundy,1993
Gruner Veltliner Kabinett Kremstal Speigel,16,81,Niederosterreich,1996
Chardonnay Napa Valley Z Lot,20,85,Napa,1993
Sauvignon Blanc Lontue Valley Gato Blanco,6,82,Chile,1996
Fume Blanc Columbia Valley,6,84,Washington,1994
Malbec Mendoza Catena Alta Lunlunta,50,92,Argentina,1996
Cabernet Sauvignon Russe,4,82,Bulgaria,1996
Merlot Rapel,9,80,Chile,1997
Soave Classico,8,75,Veneto,1992
Bordeaux White,8,84,Bordeaux,1994
Chardonnay Arroyo Grande Valley,18,88,South Coast,1993
Pinot Noir Russian River Valley Limited Edition,21,84,Sonoma,1992
Chardonnay Napa Valley,14,82,Napa,1993
Chardonnay California,16,83,Other California,1995
Chardonnay Santa Cruz Mountains,36,92,Bay Area - Central Coast,1994
Riesling Auslese Gold Cap Mosel-Saar-Ruwar Eitelsbacher Karthäuserhofberg (AP 41),,90,Germany,1994
Chardonnay North Fork of Long Island Sunflower Special Reserve,17,88,Long Island,1995
Buzet,14,81,Other France,1992
Sauvignon Blanc Napa Valley Reserve,11,86,Napa,1996
Puligny-Montrachet,,88,Burgundy,1992
St.-Julien,25,86,Bordeaux,1993
Cotes du Rhone Chateau de Domazan,7,71,Rhone,1997
Barolo Vigna Farina,,81,Piedmont,1992
Brut Saumur Cuvee Haute Tradition,13,78,Loire,
Sicilia Schietto,35,90,Other Italy,1997
Riesling Okanagan Valley Proprietors' Reserve,17,84,Canada,1997
Bordeaux White,25,90,Bordeaux,1998
Pinot Noir Willamette Valley Hoodview Vineyard,44,90,Oregon,1998
Margaux,48,90,Bordeaux,1996
Riesling Eiswein Nahe,59,83,Germany,1992
Sauvignon Blanc Alexander Valley Pinnacle Vineyard,20,89,Sonoma,1995
Riesling Smaragd Trocken Wachau Spitzer Singerriedel,50,91,Niederosterreich,1996
Pinot Blanc Qualitätswein Trocken Neusiedlersee-Hugelland,,80,Burgenland,1998
Bourgogne White Cuvee des Forgets Cuvee Speciale,22,80,Burgundy,1996
Morgon Vieilles Vignes,20,85,Beaujolais,1997
Bordeaux Superieur,12,73,,1997
Tokay Pinot Gris Alsace Rosenberg B,20,87,Alsace,1998
Barolo Serralunga d'Alba,33,77,Piedmont,1993
Tokay Aszu Eszencia,,95,Hungary,1993
Chianti Classico,15,78,Tuscany,1996
Chablis Mont de Milieu,30,83,Burgundy,1994
Cabernet Sauvignon Napa Valley,28,88,Napa,1994
Batard-Montrachet,70,88,Burgundy,1993
Pinot Noir Sonoma Coast Hirsch Vineyard,32,83,Sonoma,1995
Santenay Clos Rousseau,25,74,Burgundy,1994
Muscat Ottonel Trockenbeerenauslese Neusiedlersee,,94,Burgenland,1995
Clos de Vougeot,100,75,Burgundy,1997
White Riesling Columbia Valley Late Harvest Varietal Select,8,88,Washington,1995
Pinot Noir Santa Barbara County Sanford & Benedict Vineyard Barrel Select,36,88,South Coast,1996
Sylvaner Alsace Clos St.-Landelin Cuvee Oscar,15,85,Alsace,1996
Shiraz Clare Valley Domaine,9,86,Australia,1993
Tawny Port South Eastern Australia Brian McGuigan's Private Reserve,18,87,Australia,
Chenin Blanc Alexander Valley Dry Wetzel Family Estate,9,85,Sonoma,1995
Coteaux du Languedoc Pic St.-Loup,7,84,Languedoc-Roussillon,1996
Volnay Les Fremiets,52,83,Burgundy,1998
Pouilly-Fume,17,86,Loire,1994
Vosne-Romanee Les Suchots,66,93,Burgundy,1996
Puligny-Montrachet Les Perrieres,39,87,Burgundy,1994
Merlot Yakima Valley Winemaker's Reserve,17,82,Washington,1997
Petite Sirah Russian River Valley Flagstaff Ranch,20,85,Sonoma,1995
Chenin Vin de Pays du Jardin de la France,10,85,Loire,1998
Barbera d'Alba Vigna Pozzo,28,85,Piedmont,1993
Merlot Tuscany,32,90,Tuscany,1993
Lemberger Yakima Valley Blue Franc Genesis,12,86,Washington,1997
St.-Veran Clos a la Cote,26,83,Burgundy,1998
Merlot Grave del Friuli Morasutti,5,74,Northeast,1995
Zinfandel Russian River Valley Zeigler Vineyard,25,87,Sonoma,1997
Cotes du Luberon,,88,Rhone,1997
Savigny-les-Beaune Aux Grands Liards,19,84,Burgundy,1993
